         2519730 function calls (2392930 primitive calls) in 32.173 seconds

   Ordered by: internal time
   List reduced from 2935 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    59214    0.020    0.000    0.111    0.000 _asarray.py:88(asanyarray)
      245    0.019    0.000   25.998    0.106 computeshift.py:124(search)
75888/75856    0.019    0.000    0.020    0.000 {built-in method builtins.getattr}
    56892    0.018    0.000    0.183    0.000 _methods.py:47(_all)
      872    0.018    0.000    0.036    0.000 filters.py:136(_gaussian_kernel1d)
      245    0.017    0.000    0.019    0.000 fitpack2.py:1101(__init__)
15327/3381    0.016    0.000    0.022    0.000 ir.py:313(_rec_list_vars)
      109    0.014    0.000   30.753    0.282 overlap.py:22(align)
      490    0.014    0.000    0.285    0.001 function_base.py:26(linspace)
    16310    0.011    0.000    0.011    0.000 {method 'update' of 'dict' objects}
 4360/218    0.010    0.000    0.030    0.000 dataclasses.py:1067(_asdict_inner)
13654/6712    0.010    0.000    0.034    0.000 {method 'format' of 'str' objects}
     1766    0.010    0.000    0.030    0.000 computeshift.py:162(<lambda>)
      872    0.009    0.000    1.895    0.002 filters.py:54(correlate1d)
    56892    0.009    0.000    0.009    0.000 fromnumeric.py:2320(_all_dispatcher)
       46    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
     1308    0.008    0.000    0.040    0.000 _ni_support.py:71(_get_output)
      436    0.008    0.000    2.303    0.005 _gaussian.py:29(gaussian)
    31789    0.007    0.000    0.007    0.000 {method 'pop' of 'dict' objects}
     2234    0.007    0.000    0.007    0.000 {built-in method numpy.arange}
      872    0.007    0.000    1.938    0.002 filters.py:167(gaussian_filter1d)
35309/35194    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      490    0.006    0.000    0.008    0.000 stride_tricks.py:116(_broadcast_to)
      436    0.006    0.000    1.983    0.005 filters.py:220(gaussian_filter)
     4142    0.006    0.000    0.011    0.000 copy.py:132(deepcopy)
    28446    0.006    0.000    0.006    0.000 numeric.py:2163(_isclose_dispatcher)
      245    0.006    0.000    0.081    0.000 _minimize.py:42(minimize)
        1    0.006    0.006   32.174   32.174 alignmentset.py:93(align)
      245    0.006    0.000    0.049    0.000 {built-in method scipy.optimize.moduleTNC.minimize}
     1766    0.006    0.000    0.017    0.000 computeshift.py:160(<lambda>)
      245    0.006    0.000    0.009    0.000 linalg.py:482(inv)
     9475    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
      553    0.006    0.000    0.007    0.000 {built-in method builtins.__build_class__}
       42    0.005    0.000    0.017    0.000 postproc.py:173(_patch_var_dels)
    12830    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
    17514    0.005    0.000    0.022    0.000 _asarray.py:16(asarray)
      220    0.005    0.000    0.012    0.000 __init__.py:282(__init__)
7537/3073    0.005    0.000    0.030    0.000 _utils.py:46(__str__)
     2434    0.005    0.000    0.026    0.000 values.py:223(_to_string)
      224    0.004    0.000    0.006    0.000 controlflow.py:445(_find_dominators_internal)
       46    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      245    0.004    0.000    0.064    0.000 tnc.py:280(_minimize_tnc)
      109    0.004    0.000    0.240    0.002 overlap.py:36(getinversealignment)
    28936    0.004    0.000    0.004    0.000 multiarray.py:635(result_type)
      918    0.004    0.000    0.007    0.000 functools.py:37(update_wrapper)
      881    0.003    0.000    0.102    0.000 iostream.py:197(schedule)
      872    0.003    0.000    0.003    0.000 getlimits.py:497(__init__)
      940    0.003    0.000    0.004    0.000 win32.py:92(_winapi_test)
5651/5633    0.003    0.000    0.007    0.000 _utils.py:56(get_reference)
